# PIPELINE DATA
# FITS FILE: CH_PR100010_TG023201_TU2019-10-06T09-40-30_SCI_RAW_SubArray_V0000.fits
# FLATFIELD FILE: CH_PR100010_TG023201_TU2019-10-06T09-40-30_SCI_RAW_SubArray_V0000.fits
# DISPERSION FOR 6 HOURS AVERAGE FOR POINTS [0,60] (ppm): 15.894
# DISPERSION FOR 6 HOURS AVERAGE FOR POINTS [260,320] (ppm): 19.752
# FLUX	BKG_MODE	BKG_MEAN
1.285382280942426808e+07	5.213619150291939519e+01	8.409884941508268241e+01
1.285640797031387687e+07	5.135739943562597887e+01	8.405944976230820487e+01
1.285018344452027790e+07	5.163901171130057577e+01	8.324310884430514079e+01
1.285072513891043141e+07	5.454437555218138556e+01	8.407686583616528253e+01
1.285771872631473467e+07	5.662833756818308473e+01	8.469194164055880947e+01
1.285768473944507167e+07	5.025934023330953693e+01	8.374378432645566761e+01
1.284714390193332359e+07	5.909524229436793519e+01	8.359274343143856356e+01
1.284027203355408087e+07	5.878951487573695545e+01	8.352840896338724974e+01
1.285039030131001398e+07	5.468010365710172493e+01	8.408144160732223327e+01
1.286109768748020008e+07	4.970819466863787284e+01	8.402235970914257734e+01
1.284990666748663411e+07	5.739601883177321184e+01	8.349312236265248544e+01
1.284629164326823130e+07	5.706822099204540422e+01	8.365295746711703373e+01
1.284972328695288114e+07	5.627224209400961286e+01	8.350883832674301743e+01
1.285612399090822227e+07	5.693162217927621072e+01	8.412086394140078482e+01
1.285390066212934256e+07	4.863690179091214816e+01	8.412580702458521387e+01
1.285772932689118385e+07	5.595031783848688178e+01	8.369257703167086504e+01
1.285410493240353651e+07	5.296826759742422297e+01	8.401919546756506918e+01
1.285429180861064605e+07	4.979347063748945601e+01	8.359074563528663759e+01
1.285797964202952199e+07	5.595288763555876699e+01	8.367015053608170660e+01
1.284918012374270335e+07	5.519339489366427642e+01	8.435908680492171641e+01
1.284774573184833862e+07	5.581401867969783837e+01	8.417759654529801594e+01
1.285595331161311269e+07	5.860082041343828507e+01	8.517482515078881988e+01
1.285030302547472157e+07	5.620994234454582283e+01	8.585577004360378339e+01
1.285549171867653541e+07	5.648076696919525830e+01	8.666838384284663732e+01
1.285384762263162062e+07	5.958336383407279158e+01	8.684646083649528236e+01
1.285452827941843495e+07	6.264915079845654589e+01	8.880062694599139661e+01
1.285459093197149597e+07	6.282408311427076342e+01	9.008652621600096211e+01
1.285461601166490093e+07	6.379788107024916144e+01	9.182866216758432643e+01
1.285847836425883882e+07	6.482145238231373696e+01	9.465036390954961121e+01
1.285977686600046232e+07	6.682718395297388270e+01	9.440683497651046707e+01
1.284859026898593828e+07	6.565939685812719517e+01	9.588329546127008030e+01
1.285925325819792226e+07	6.490847197457405571e+01	9.760706075497699885e+01
1.285215368744237721e+07	6.693379051163927329e+01	9.802458092861238015e+01
1.285514705403726920e+07	6.915287848385204938e+01	9.875192505090286943e+01
1.285647551860648580e+07	6.804969446648962617e+01	9.869379481445203339e+01
1.285363497774996981e+07	7.561799397387896704e+01	9.920800799610569243e+01
1.285763127128325216e+07	6.983642304855204941e+01	9.918347009900611511e+01
1.285735610938571207e+07	6.884316301122885307e+01	9.933188545094974131e+01
1.285018917856288888e+07	7.175771834102975788e+01	9.886981951997663032e+01
1.285455641705886833e+07	6.970481788395119338e+01	9.823506934757804743e+01
1.285195155065665580e+07	6.849388068057928081e+01	9.709696106582579489e+01
1.285841235798233561e+07	7.033050490654318310e+01	9.821887813557268032e+01
1.285577418465822190e+07	7.256882697773163216e+01	9.949287537985277652e+01
1.285219914517225325e+07	6.748864913338370286e+01	9.819996580536580666e+01
1.285017530452682450e+07	6.826372600201997898e+01	9.789311165135011095e+01
1.285392078043857403e+07	6.860494185518420807e+01	9.728198348654775884e+01
1.284740558158145100e+07	6.969776467392327390e+01	9.732322460373794115e+01
1.284859874690928496e+07	7.070667360579260219e+01	9.678008140475408538e+01
1.284737529455463961e+07	7.069888299651219654e+01	9.738315473639379150e+01
1.286127973163498938e+07	6.501810905170437138e+01	9.819324335875191423e+01
1.284993116218559444e+07	6.588480512881479001e+01	9.784986049286551690e+01
1.286020636006853729e+07	6.969739270243434248e+01	9.730787369269354770e+01
1.284753279294249788e+07	6.899469766889512812e+01	9.837530150357142134e+01
1.284925391499751620e+07	6.720894295224003656e+01	9.813399303439423704e+01
1.285850042341914400e+07	7.087302016340514399e+01	9.899110147672011806e+01
1.285392271471987106e+07	6.105915630124329851e+01	9.875269071560947509e+01
1.285137959311678074e+07	6.970729616183992050e+01	9.800125785286344637e+01
1.284990120288122818e+07	6.788549130181345959e+01	9.916149115809086823e+01
1.285221976447118819e+07	6.596634134919867165e+01	9.824108085706605209e+01
1.285246858294230886e+07	7.072811842721159792e+01	9.767278821474265271e+01
1.285431805536118895e+07	6.900617851141406334e+01	9.857691527599595815e+01
1.285491054440266453e+07	6.974391210808099117e+01	9.607034000862519463e+01
1.285718808953879029e+07	6.287248146031726037e+01	9.488598921351538706e+01
1.285551969174936228e+07	6.239280952915841283e+01	9.303512481476317930e+01
1.285034592782528885e+07	6.725164798069585004e+01	9.267968857036530039e+01
1.285350784983758815e+07	6.126229990992231222e+01	9.000729305752851417e+01
1.285096389334285632e+07	6.445001560163406396e+01	8.805854364337575646e+01
1.297925660380809009e+07	4.214844837246911879e+01	3.209430146176232483e+02
1.304483560964254662e+07	4.659732808099214907e+01	4.286271477495289446e+02
1.307273717415118217e+07	4.602302940386837093e+01	4.283528766078429726e+02
1.303320118258337490e+07	5.549900211110357873e+01	4.318530604379317879e+02
1.293252119835059345e+07	4.192846484913516036e+01	2.030011410817741648e+02
1.285920952769344673e+07	4.971327515271457997e+01	8.322494440705807506e+01
1.285176974342537299e+07	5.289278173390167126e+01	8.391149493113442759e+01
1.285573010863092169e+07	5.764871559367898612e+01	8.472380040696774017e+01
